job_id,title,company_name,field,location,duration,skills_required,stipend,stipend_num,description,candidate_expectations
JOB_001,Video Editing Intern,PixelVibe Studios,Video Editing,"Mumbai, Maharashtra",4 months,"['Adobe Premiere Pro', 'After Effects', 'Color Grading', 'Motion Graphics']","₹12,000/month",12000,"Edit short-form content for YouTube, Instagram Reels, and client ads. Work closely with directors to create engaging cuts, add sound design, and deliver final exports in multiple formats. You will handle raw footage management, create motion graphics, and learn advanced post-production workflows used in commercial projects.","We seek creative, deadline-driven individuals with a strong aesthetic sense and passion for storytelling through video. You should be comfortable receiving feedback and iterating quickly. Good communication and ability to work in a fast-paced studio environment are essential."
JOB_002,Graphic Design Intern,DesignMint Agency,Design,"Bengaluru, Karnataka",6 months,"['Figma', 'Adobe Illustrator', 'Photoshop', 'UI/UX Basics']","₹15,000/month",15000,"Design social media creatives, branding collateral, website banners, and marketing materials for startups and enterprises. Collaborate with the creative team on client pitches and revisions while maintaining brand guidelines and delivering pixel-perfect assets.","We want a visually curious designer who stays updated with trends and loves experimenting, and takes ownership of projects. Strong time management, openness to critique, and excellent file organization skills are must-haves."
JOB_003,Full Stack Development Intern,TechNex Solutions,Tech,"Hyderabad, Telangana",6 months,"['React.js', 'Node.js', 'MongoDB', 'Git']","₹20,000/month",20000,"Build and maintain features for web applications, write clean code, participate in code reviews, and deploy updates to production. You will work on both frontend and backend tasks, integrate APIs, and solve real-time user issues in an agile environment.","We look for problem-solvers who love coding, ask questions, and are not afraid of debugging. Good logical thinking, teamwork, and eagerness to learn new technologies are highly valued."
JOB_004,Digital Marketing Intern,GrowthPulse Media,Marketing,Delhi NCR,3 months,"['SEO', 'Google Ads', 'Social Media Management', 'Canva']","₹10,000/month",10000,"Plan and execute campaigns on Meta, Google, and LinkedIn, analyze performance metrics, create ad copies, and optimize for better ROI. You will also assist in content calendar planning and competitor analysis.","We need energetic, data-driven individuals who are comfortable with numbers and creative copywriting. Proactiveness, attention to detail, and ability to handle multiple campaigns simultaneously are crucial."
JOB_005,Data Analyst Intern,InsightAnalytics Pvt Ltd,Data,"Pune, Maharashtra",5 months,"['Excel', 'SQL', 'Python', 'Tableau/Power BI']","₹18,000/month",18000,"Clean and analyze large datasets, build interactive dashboards, and provide actionable business insights. You will work with sales, marketing, and product teams to answer key questions using data visualization and statistical methods.","We seek analytical minds with intellectual curiosity and storytelling ability through data. Strong communication to explain technical findings to non-technical stakeholders is essential, along with a structured approach to problem-solving."
JOB_006,Machine Learning Intern,AIForge Labs,ML/AI,"Chennai, Tamil Nadu",6 months,"['Python', 'TensorFlow/PyTorch', 'Pandas', 'ML Algorithms']","₹25,000/month",25000,"Develop and train models for computer vision and NLP projects, perform data preprocessing, experiment tracking, and model deployment using Flask/FastAPI. You will collaborate with senior ML engineers on production-grade systems.","We are looking for passionate learners with solid foundations in mathematics and programming. Ability to read research papers, experiment rigorously, and document findings clearly is highly appreciated."
JOB_007,Finance Intern,WealthCore Advisors,Finance,"Kolkata, West Bengal",4 months,"['Excel', 'Financial Modeling', 'Tally', 'GST Knowledge']","₹8,000/month",8000,"Assist in bookkeeping, reconciliation, preparation of financial statements, and basic modeling for investments. You will also help in tax filings, invoicing, and vendor payments.","We need meticulous, ethical individuals with high integrity and numerical accuracy. Proactive attitude, confidentiality, and willingness to learn accounting standards are required."
JOB_008,Human Resources Intern,PeopleFirst Solutions,HR,"Ahmedabad, Gujarat",3 months,"['Recruitment', 'MS Office', 'Communication', 'LinkedIn Recruiter']","₹10,000/month",10000,"Support end-to-end recruitment, screen resumes, schedule interviews, maintain employee databases, and assist in onboarding and payroll processing. You will also help organize engagement activities.","We look for empathetic, organized individuals with excellent interpersonal skills and discretion. A people-oriented mindset and ability to multitask in a dynamic environment are essential."
JOB_009,Content Writing Intern,WordCraft Media,Content,"Jaipur, Rajasthan",4 months,"['SEO Writing', 'Blogging', 'Grammarly', 'Research']","₹9,000/month",9000,"Write engaging blogs, website copy, social media posts, and newsletters for B2B and D2C brands. You will conduct topic research, optimize for SEO, and work with editors to refine tone and style.","We seek creative writers who can adapt voice to different brands and meet deadlines consistently. Curiosity, readability focus, and comfort with feedback are key traits we value."
JOB_010,Sales & Business Development Intern,SellSmart Technologies,Sales,"Lucknow, Uttar Pradesh",3 months,"['Cold Calling', 'CRM', 'Negotiation', 'English & Hindi Fluency']","₹8,000 + Incentives",8000,"Generate leads through calls and emails, pitch SaaS products, follow up with prospects, and update CRM. You will attend client meetings (virtual/physical) and help close deals.","We want confident communicators who are resilient to rejection and target-oriented. A go-getter attitude, relationship-building skills, and hunger to earn incentives are critical."
JOB_011,Customer Support Intern,CareHub Services,Customer Relations,"Indore, Madhya Pradesh",5 months,"['Communication', 'Zendesk', 'Empathy', 'Problem Solving']","₹10,000/month",10000,"Handle customer queries via chat, email, and calls, resolve issues, escalate when needed, and maintain high CSAT scores. You will document common issues and suggest product improvements.","We need patient, polite individuals who can stay calm under pressure and genuinely enjoy helping people. Quick learning, active listening, and positive language are must-haves."
JOB_012,Operations Intern,LogiChain Solutions,Operations,"Coimbatore, Tamil Nadu",4 months,"['Excel', 'Process Mapping', 'Coordination', 'ERP Basics']","₹12,000/month",12000,"Assist in supply chain coordination, inventory tracking, vendor management, and process documentation. You will analyze operational bottlenecks and help implement efficiency improvements.","We seek organized, proactive individuals with a logical mindset and attention to detail. Ability to coordinate with multiple stakeholders and adapt quickly is essential."
JOB_013,UI/UX Design Intern,UserFirst Studio,Design,"Gurugram, Haryana",6 months,"['Figma', 'Prototyping', 'User Research', 'Wireframing']","₹18,000/month",18000,"Conduct user interviews, create wireframes, high-fidelity prototypes, and usability test new features for mobile and web apps. Work directly with product managers and developers.","We look for empathetic designers who prioritize user needs, think critically, and justify design decisions. Collaboration, curiosity, and a portfolio showcasing process are highly valued."
JOB_014,Social Media Intern,ViralWave Agency,Marketing,"Chandigarh, Punjab",3 months,"['Content Creation', 'Canva', 'Scheduling Tools', 'Analytics']","₹10,000/month",10000,"Curate and schedule posts, design creatives, engage with followers, and track performance across Instagram, LinkedIn, and Twitter for multiple clients.","We need trend-savvy, creative individuals who understand platform algorithms and audience psychology. Consistency, quick thinking, and a fun personality are a big plus."
JOB_015,Accounting Intern,FinTrust Consultants,Accounts,"Bhopal, Madhya Pradesh",4 months,"['Tally ERP', 'GST', 'Excel', 'Bookkeeping']","₹7,500/month",7500,"Enter transactions, reconcile bank statements, prepare vouchers, assist in GST returns, and support audit preparation for SME clients.","We seek honest, accurate individuals with strong ethics and numerical ability. Attention to detail, punctuality, and willingness to learn taxation laws are required."
JOB_016,Backend Development Intern,CodeNest Technologies,Tech,"Kochi, Kerala",6 months,"['Node.js', 'Express', 'MongoDB', 'REST APIs']","₹20,000/month",20000,"Develop and maintain backend services, write efficient APIs, optimize database queries, and ensure security best practices in live applications.","We look for logical thinkers who write clean, scalable code and enjoy solving performance issues. Team collaboration, documentation habits, and curiosity about system design are appreciated."
JOB_017,Brand Management Intern,BrandBoom Consulting,Marketing,"Surat, Gujarat",3 months,"['Brand Strategy', 'Market Research', 'Presentation Skills']","₹9,000/month",9000,"Assist in brand positioning, competitor analysis, campaign planning, and creating brand guideline documents for FMCG and fashion clients.",We want strategic thinkers with a keen eye for branding and storytelling. Creativity combined with analytical skills and confidence in presenting ideas are essential.
JOB_018,DevOps Intern,CloudOps India,Tech,"Visakhapatnam, Andhra Pradesh",5 months,"['AWS', 'Docker', 'Jenkins', 'Linux']","₹22,000/month",22000,"Assist in CI/CD pipeline setup, containerization, cloud resource management, monitoring, and automation scripting for production environments.","We seek systematic individuals who love automation and infrastructure as code. Problem-solving mindset, patience with troubleshooting, and learning agility are critical."
JOB_019,Talent Acquisition Intern,HireSwift Solutions,HR,"Nagpur, Maharashtra",4 months,"['Sourcing', 'LinkedIn', 'Interview Coordination', 'ATS']","₹10,000/month",10000,"Source candidates from job portals, conduct initial screening calls, maintain recruitment trackers, and improve employer branding content.","We need outgoing, persuasive individuals who can build relationships quickly. Persistence, ethical sourcing practices, and organization skills are a must."
JOB_020,Motion Graphics Intern,Animatico Studio,Video Editing/Design,Goa,4 months,"['After Effects', 'Cinema 4D', 'Illustrator', 'Storyboarding']","₹15,000/month",15000,"Create explainer videos, logo animations, and promotional motion content for brands and agencies. You will conceptualize, storyboard, animate, and composite final pieces.","We look for creative animators with timing, rhythm, and storytelling sense. Ability to interpret scripts visually and meet tight deadlines is crucial."
JOB_021,Business Analyst Intern,StratEdge Consulting,Operations/Analytics,"Dehradun, Uttarakhand",5 months,"['Requirements Gathering', 'UML', 'Excel', 'Jira']","₹12,000/month",12000,"Elicit requirements from stakeholders, create user stories, process flows, and support product owners in backlog grooming and sprint planning.","We seek bridge-builders who can translate business needs into technical language. Strong listening, documentation, and logical structuring abilities are essential."
JOB_022,SEO Intern,RankHigh Digital,Marketing,"Guwahati, Assam",3 months,"['Keyword Research', 'On-Page SEO', 'Google Analytics', 'Ahrefs']","₹8,000/month",8000,"Perform keyword research, optimize website content, build backlinks, and prepare monthly SEO performance reports for e-commerce and service clients.","We need patient, analytical individuals who enjoy research and tracking long-term results. Curiosity about search algorithms and ethical practices are required."
JOB_023,Financial Analyst Intern,InvestWise Capital,Finance,"Raipur, Chhattisgarh",4 months,"['Financial Modeling', 'Valuation', 'Excel', 'Research']","₹10,000/month",10000,"Build DCF and comparable company models, research industries, prepare pitch books, and assist in due diligence for private equity and startup investments.","We look for ambitious, number-crunching individuals with high accuracy and interest in markets. Intellectual rigor and professional presentation are key."
JOB_024,Product Management Intern,ProdCraft Labs,Tech/Product,"Noida, Uttar Pradesh",6 months,"['Product Roadmap', 'Figma', 'Jira', 'User Stories']","₹20,000/month",20000,"Assist in feature prioritization, competitor analysis, user story writing, A/B testing, and roadmap planning for SaaS products.","We seek customer-obsessed, decisive individuals who can balance business, tech, and user needs. Strong communication and data-driven thinking are vital."
JOB_025,Copywriting Intern,AdCopy Creators,Content/Marketing,"Mysuru, Karnataka",3 months,"['Ad Copy', 'Persuasive Writing', 'Brand Tone', 'SEO']","₹9,000/month",9000,"Write Google/Facebook ads, landing page copy, email sequences, and product descriptions that convert for e-commerce and tech brands.","We need sharp, persuasive writers who understand consumer psychology and can sell with words. Quick turnaround and openness to edits are essential."
JOB_026,Cybersecurity Intern,SecureNet India,Tech,"Thiruvananthapuram, Kerala",6 months,"['Ethical Hacking Basics', 'Wireshark', 'Linux', 'Python']","₹18,000/month",18000,"Assist in vulnerability assessments, penetration testing support, log analysis, and security policy documentation for enterprise clients.","We seek ethical, detail-oriented individuals with a strong sense of responsibility. Curiosity about threats and continuous learning mindset are critical."
JOB_027,Supply Chain Intern,ChainMaster Logistics,Operations,"Ludhiana, Punjab",4 months,"['Excel', 'Inventory Management', 'Vendor Coordination']","₹10,000/month",10000,"Track shipments, optimize inventory levels, coordinate with suppliers, and analyze logistics costs to improve delivery timelines.",We need organized multitaskers who thrive in dynamic environments. Analytical thinking and negotiation basics are a bonus.
